respondent,task,profile,rating,price,brand,size,color
1,1,1,7,low,BrandA,small,red
1,1,2,4,high,BrandB,large,blue
1,2,1,6,medium,BrandC,medium,red
1,2,2,5,low,BrandB,small,blue
1,3,1,8,low,BrandA,medium,green
1,3,2,3,high,BrandC,large,red
2,1,1,5,medium,BrandA,large,blue
2,1,2,6,low,BrandC,small,green
2,2,1,4,high,BrandB,medium,red
2,2,2,7,low,BrandA,small,blue
2,3,1,3,high,BrandC,large,green
2,3,2,8,low,BrandB,medium,red
3,1,1,6,medium,BrandA,small,green
3,1,2,5,high,BrandB,large,blue
3,2,1,9,low,BrandC,medium,red
3,2,2,2,high,BrandA,large,green
3,3,1,7,low,BrandB,small,blue
3,3,2,4,medium,BrandC,medium,red
4,1,1,8,low,BrandA,small,red
4,1,2,3,high,BrandC,large,blue
4,2,1,5,medium,BrandB,medium,green
4,2,2,6,low,BrandA,large,red
4,3,1,7,low,BrandC,small,blue
4,3,2,4,high,BrandB,medium,green
5,1,1,6,medium,BrandA,medium,red
5,1,2,5,high,BrandB,small,blue
5,2,1,8,low,BrandC,large,green
5,2,2,3,high,BrandA,small,red
5,3,1,7,low,BrandB,medium,blue
5,3,2,4,medium,BrandC,large,green
